Istanbul, Buyukcekmece, Belgin Gunes, CASHIER
Diyarbakir, Ergani, Dijdar Ipek, COOK
Izmir, Bayindir, Karmen Ay, COOK
Istanbul, Arnavutkoy, Edahses Uzun, CASHIER
Izmir, Selcuk, Kadriye Kilicarslan, CASHIER
Diyarbakir, Cinar, Ecenaz Ekinci, COOK
Istanbul, Gaziosmanpasa, Hejmar Alkan, COOK
Istanbul, Gaziosmanpasa, Etkin Yilmaz, COURIER
Elazig, Alacakaya, Ferhat Ari, COOK
Izmir, Selcuk, Balca Demirci, CASHIER
Istanbul, Arnavutkoy, Havva Ipek, COURIER
Diyarbakir, Ergani, Ildiz Gul, CASHIER
Elazig, Alacakaya, Lamiye Demirci, COURIER
Diyarbakir, Hani, Farik Tasdemir, COURIER
Istanbul, Gaziosmanpasa, Ayberk Mengi, COURIER
Bursa, Harmancik, Dehan Cicek, COURIER
Istanbul, Buyukcekmece, Canalp Erkan, COURIER
Bingol, Solhan, Hanedan Demirci, CASHIER
Istanbul, Gaziosmanpasa, Lebriz Guler, COURIER
Istanbul, Arnavutkoy, Gokay Cetin, COOK
Bursa, Harmancik, Karaca Celik, COOK
Izmir, Odemis, Emel Tuncer, CASHIER
Istanbul, Buyukcekmece, Elvan Ucar, CASHIER
Elazig, Alacakaya, Ilbey Demirci, COOK
Bursa, Harmancik, Mahizar Ozen, CASHIER
